# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 01:49:30   12  12   6  20   1  51
 2025-01-01 01:50:00   12  12   6  20   1  51
 2025-01-01 01:50:30   12  12   6  20   1  51
 2025-01-01 01:51:00   12  12   6  20   1  51
 2025-01-01 01:51:30   12  12   6  20   1  51
 2025-01-01 01:52:00   12  12   6  20   1  51
 2025-01-01 01:52:30   12  12   6  19   1  50
 2025-01-01 01:53:00   12  12   6  20   1  51
 2025-01-01 01:53:30   12  12   6  20   1  51
 2025-01-01 01:54:00   12  12   6  20   1  51
 2025-01-01 01:54:30   12  12   6  20   1  51
 2025-01-01 01:55:00   12  12   6  20   1  51
 2025-01-01 01:55:30   12  12   6  20   1  51
 2025-01-01 01:56:00   12  12   6  20   1  51
 2025-01-01 01:56:30   12  12   6  19   1  50
 2025-01-01 01:57:00   12  12   6  19   1  50
 2025-01-01 01:57:30   12  12   6  19   1  50
 2025-01-01 01:58:00   12  11   6  20   0  49
 2025-01-01 01:58:30   12  11   6  19   1  49
 2025-01-01 01:59:00   12  11   6  20   1  50
 2025-01-01 01:59:30   12  11   6  19   1  49
 2025-01-01 02:00:00   12  11   6  19   1  49
 2025-01-01 02:00:30   12  11   6  20   1  50
 2025-01-01 02:01:00   12  11   6  20   1  50
 2025-01-01 02:01:30   12  11   6  20   1  50
 2025-01-01 02:02:00   12  11   6  20   1  50
 2025-01-01 02:02:30   12  11   6  20   1  50
 2025-01-01 02:03:00   12  11   6  19   0  48
 2025-01-01 02:03:30   12  11   6  19   0  48
 2025-01-01 02:04:00   12  11   7  18   0  48
 2025-01-01 02:04:30   12  11   7  18   0  48
 2025-01-01 02:05:00   12  11   7  18   0  48
 2025-01-01 02:05:30   12  11   7  18   0  48
 2025-01-01 02:06:00   12  11   8  18   0  49
 2025-01-01 02:06:30   12  11   8  19   0  50
 2025-01-01 02:07:00   12  11   8  19   0  50
 2025-01-01 02:07:30   12  11   8  19   0  50
 2025-01-01 02:08:00   12  12   8  19   0  51
 2025-01-01 02:08:30   12  12   8  19   0  51
 2025-01-01 02:09:00   12  12   8  19   0  51
 2025-01-01 02:09:30   12  12   8  19   0  51
 2025-01-01 02:10:00   12  12   8  19   0  51
 2025-01-01 02:10:30   12  12   8  19   0  51
 2025-01-01 02:11:00   12  12   8  19   0  51
 2025-01-01 02:11:30   12  13   8  19   0  52
 2025-01-01 02:12:00   12  13   8  19   0  52
 2025-01-01 02:12:30   12  13   8  19   0  52
 2025-01-01 02:13:00   12  13   8  19   0  52
 2025-01-01 02:13:30   12  13   8  19   0  52
 2025-01-01 02:14:00   12  13   8  19   0  52
 2025-01-01 02:14:30   12  13   8  19   0  52
 2025-01-01 02:15:00   12  13   8  19   0  52
 2025-01-01 02:15:30   12  13   8  19   0  52
 2025-01-01 02:16:00   12  13   8  19   0  52
 2025-01-01 02:16:30   12  13   8  19   0  52
 2025-01-01 02:17:00   12  13   8  19   0  52
 2025-01-01 02:17:30   12  13   8  19   0  52
 2025-01-01 02:18:00   12  13   8  19   0  52
 2025-01-01 02:18:30   13  13   8  19   0  53
