#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverSerialNumber,ReceiverFirmwareVersion,ReceiverElevationCutoff,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType,ClockInputFrequency,ClockEffectiveDates
STHL00GBR,6104817.308,-605827.996,-1740738.865,-15.943,-5.667,453.695,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS,02219,4.1.01,0,2021-08-03T17:58Z,TPSCR.G3,SCIS,383-0150,BPA,0.0083,0.0000,0.0000,2010-03-03T00:00Z,INTERNAL,,2010-03-03/CCYY-MM-DD
STJ300CAN,2612588.6706,-3426820.6402,4686773.7555,47.595,-52.678,154.946,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS,3022488,5.5.0,0,2022-11-30T13:30Z,LEIAR25.R4,NONE,10231016,BPA,0.0542,0.0000,0.0000,2018-10-04T14:00Z,EXTERNAL T4Science VCH-1008 passive maser ,10,
STJO00CAN,2612631.2,-3426807.0,4686757.8,47.595,-52.678,153.238,JAVAD TRE_3N DELTA,GPS+GLO+GAL,02626,3.7.5p1 Jan 23 2019,5,2019-03-18T13:53Z,AOAD/M_T,NONE,473,BPA,000.1000,000.0000,000.0000,2022-07-21T21:36Z,EXTERNAL H-MASER,5,2022-07-21/CCYY-MM-DD
STK200JPN,-3642161.206,2861487.883,4370351.333,43.529,141.845,118.965,TRIMBLE ALLOY,GPS+GLO+GAL+QZSS,6016R40293,6.10,5,2021-08-16T11:00Z,TRM59800.00,SCIS,5015353788,BPA,0.0,0.0,0.0,2012-02-14T01:12Z,EXTERNAL CESIUM,10,2003-05-23
STPM00SPM,2436208.256,-3634804.894,4624885.452,46.778,-56.168, 0.903,TRIMBLE NETR9,GPS+GLO+GAL+BDS+SBAS,5046K71749,4.85,0,2022-09-26T15:00Z,TRM57971.00,NONE,5311118375,BAM,3.0434,0.0000,0.0000,2013-06-06T00:00Z,INTERNAL,,2013-06-20/CCYY-MM-DD
STR100AUS,-4467103.1933,2683039.4751,-3666948.7457,-35.316,149.010,800.334,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS+IRNSS,3078707,5.5.0,0,2022-10-30T23:08Z,ASH701945C_M,NONE,CR620023911,BPA,000.0040,000.0000,000.0000,2003-11-07T00:00Z,EXTERNAL CESIUM,10 ,2012-01-17/(CCYY-MM-DD)
STR200AUS,-4467075.2351,2683011.847,-3667007.0408,-35.316,149.010,802.869,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,6135R40066,6.15,0,2022-11-01T00:37Z,LEIAR25.R3,NONE,09330026,BAM,000.0000,000.0000,000.0000,2017-11-27T00:00Z,INTERNAL,,1998-06-15/(CCYY-MM-DD)
SULP00UKR,3765296.991,1677559.204,4851297.409,49.836,24.014,370.957,TRIMBLE NETR9,GPS+GLO+GAL+BDS+SBAS,5342K46290,5.45,0,2020-12-18T00:00Z,TPSCR.G5,TPSH,11138,BPA,4.7290,0.0000,0.0000,2013-03-30T11:16Z,INTERNAL,,2001-06-01/CCYY-MM-DD
SUTH00ZAF,5041274.8417,1916054.1204,-3397075.9716,-32.380,20.810,1800.182,SEPT POLARX5,GPS+GLO+GAL+BDS,3013582,5.5.0,0,2023-03-10T18:58Z,ASH701945G_M,NONE,CR6200342011,BPA,0.084,0.000,0.000,2004-06-01T00:00Z,INTERNAL,,1997-12-05/CCYY-MM-DD
SUTM00ZAF,5041190.169,1916067.017,-3397189.514,-32.381,20.811,1798.017,JAVAD TRE_3,GPS+GLO+GAL+BDS+IRNSS+SBAS,4171748,4.2.01-220630,0,2023-01-17T14:32Z,JAVRINGANT_G5T,NONE,6082C,BAM,0.1300,0.0000,0.0000,2019-05-10T11:00Z,INTERNAL,,2008-04-25/CCYY-MM-DD
SUWN00KOR,-3062023.4156,4055449.1662,3841819.3768,37.276,127.054,84.353,TRIMBLE NETR9,GPS+GLO+GAL,5302K41501,5.37,5,2021-08-04T05:25Z,TRM59800.80,SCIS,0220170420,BPA,1.570,0.000,0.000,2018-02-05T00:00Z,EXTERNAL CESIUM,10 ,2010-03-05/CCYY-MM-DD
SVTL00RUS,2730156.0,1562365.0,5529989.0,60.533,29.781,77.227,JAVAD TRE_3 DELTA,GPS+GLO+GAL,02683,3.7.2 Aug 31 2017,3,2019-10-03T10:00Z,JAVRINGANT_DM,JVDM,00324,BPA,0.0285,0.0000,0.0000,2019-10-03T10:00Z,EXTERNAL H-MASER CH1-80,5 ,2008-10-23/CCYY-MM-DD
SYDN00AUS,-4648240.8472,2560636.4409,-3526317.7772,-33.781,151.150,85.973,SEPT POLARX5TR,QZSS+GPS+GLO+GAL+BDS,3055078,5.5.0,0,2022-11-01T01:21Z,ASH701945C_M,NONE,CR519994908,BPA,000.0300,000.0000,000.0000,2004-05-05T00:00Z,EXTERNAL CESIUM,10 ,2015-07-15/(CCYY-MM-DD)
SYOG00ATA,1766207.8686,1460290.3801,-5932297.7652,-69.007,39.584,50.539,TRIMBLE ALLOY,GPS+GLO+GAL+QZSS,5804R40006,6.15,5,2023-02-13T00:00Z,TRM159900.00,SCIS,5925338542,BPA,0.0,0.0,0.0,2020-01-18T00:00Z,EXTERNAL CESIUM,10,2008-01-27
TABL00USA,-2448550.1126,-4668099.0769,3582741.024,34.382,-117.678,2228.447,TRIMBLE NETR9,GPS+GLO+SBAS,5303K57287,5.37,5,2019-08-19T22:00Z,TRM57971.00,NONE,5000115197,BAM,0.1256,0.0000,0.0000,2013-11-21T20:45Z,INTERNAL,,1995-10-19/CCYY-MM-DD
TANA00ETH,4970747.7784,3790687.1134,1271109.0376,11.569,37.329,1851.365,LEICA GR25,GPS+GLO,1831151,3.22/6.521,0,2016-02-16T11:11Z,LEIAR25.R4,LEIT,726669,BPA,0.0762,0.0000,0.0000,2013-11-30T00:00Z,INTERNAL ,,
TASH00UZB,1695945.1994,4487138.5684,4190140.6931,41.328,69.296,440.123,SEPT ASTERX4,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,3046856,4.8.2,0,2021-01-20T11:39Z,SEPCHOKE_B3E6,NONE,5483,BPA,0.1206,0.0000,0.0000,2020-09-24T12:30Z,EXTERNAL RUBIDIUM,5 ,2003-05-15/CCYY-MM-DD
