# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : Carrier-to-Noise Ratio [dBHz]
# Time      : 2025-05-05 15:49:29
#             END OF HEADER

+SYS
    gSys   AVE   MIN   MAX
--------------------------
       C  38.9  18.0  53.4
       E  39.2  18.0  55.1
       G  37.8   1.8  57.7
       J  32.9  19.6  38.8
       R  40.7  17.8  52.7
--------------------------
+SYS

+SAT
 prnFreq   AVE   MIN   MAX
--------------------------
 E19_S7Q  39.6  34.9  43.9
 E19_S8Q  40.5  36.2  43.6
 E19_S5Q  31.3  26.9  34.2
 G04_S1C  38.2  20.1  45.2
 G04_S1W  23.3   4.1  33.7
 G04_S2W  23.3   4.1  33.7
 G04_S2L  38.9  19.4  45.3
 G04_S5Q  33.6  19.2  39.3
 G04_S1L  39.0  20.1  46.1
 G08_S1C  42.0  18.8  48.7
 G08_S1W  41.1  11.9  51.2
 G08_S2W  41.1  11.9  51.2
 G08_S2L  41.1  21.4  47.2
 G08_S5Q  37.4  21.2  42.9
 G09_S1C  38.4  19.3  48.8
 G09_S1W  35.8  11.4  52.3
 G09_S2W  35.8  11.4  52.3
 G09_S2L  37.7  18.0  46.7
 G09_S5Q  34.4  18.9  42.6
 G16_S1C  42.6  21.1  48.5
 G16_S1W  29.2   3.2  38.6
 G16_S2W  29.2   3.2  38.6
 G18_S1C  37.6  18.9  47.7
 G18_S1W  22.6   2.0  39.2
 G18_S2W  22.6   2.0  39.2
 G18_S2L  38.3  19.8  47.5
 G18_S5Q  33.9  20.9  42.2
 G18_S1L  37.9  20.2  47.9
 G21_S1C  40.1  19.8  47.2
 G21_S1W  29.7   3.6  43.3
 G21_S2W  29.7   3.6  43.3
 G26_S1C  42.2  23.4  47.6
 G26_S1W  40.3  13.2  49.8
 G26_S2W  40.3  13.2  49.8
 G26_S2L  41.2  23.2  46.7
 G26_S5Q  37.9  22.9  43.4
 G27_S1C  42.6  22.7  50.8
 G27_S1W  43.3  10.7  56.1
 G27_S2W  43.3  10.7  56.1
 G27_S2L  41.4  19.6  48.6
 G27_S5Q  39.1  29.2  45.2
 G28_S1C  42.7  26.2  48.7
 G28_S1W  31.1   8.9  41.8
 G28_S2W  31.1   8.9  41.8
 G28_S2L  43.3  30.8  48.9
 G28_S5Q  37.9  26.2  43.2
 G28_S1L  43.0  27.8  48.8
 G31_S1C  44.0  24.0  49.9
 G31_S1W  41.5  11.1  53.2
 G31_S2W  41.5  11.1  53.2
 G31_S2L  41.9  27.0  48.2
 G10_S1C  39.1  18.9  51.2
 G10_S1W  36.4   8.4  54.9
 G10_S2W  36.4   8.4  54.9
 G10_S2L  37.4  19.9  48.0
 G10_S5Q  35.2  20.5  43.8
 G02_S1C  42.9  24.2  49.9
 G02_S1W  32.5   5.3  46.0
 G02_S2W  32.5   5.3  46.0
 G07_S1C  38.1  19.1  48.1
 G07_S1W  31.6   4.3  48.6
 G07_S2W  31.6   4.3  48.6
 G07_S2L  36.1  19.0  45.3
 G01_S1C  42.7  18.8  50.8
 G01_S2L  43.9  24.3  53.0
 G01_S1W  32.5   4.3  48.0
 G01_S2W  32.5   4.3  48.0
 G01_S1L  42.9  19.1  51.2
 G01_S5Q  38.6  22.6  47.4
 G30_S1C  38.2  18.7  45.6
 G30_S1W  33.7   6.5  45.3
 G30_S2W  33.7   6.5  45.3
 G30_S2L  36.4  19.3  43.2
 G30_S5Q  34.3  19.8  40.4
 G03_S1C  43.2  20.0  50.6
 G03_S1W  42.3  14.5  55.3
 G03_S2W  42.3  14.5  55.3
 G03_S2L  41.6  23.1  48.5
 G03_S5Q  38.6  21.8  44.8
 G14_S1C  39.6  22.3  48.8
 G14_S5Q  36.2  20.4  44.9
 G14_S1L  40.1  22.6  49.3
 G14_S1W  27.0   2.2  44.2
 G14_S2W  27.0   2.2  44.2
 G14_S2L  40.8  22.8  50.6
 G17_S1C  44.3  26.2  50.9
 G17_S2L  42.3  21.6  49.3
 G17_S1W  42.8  10.8  55.2
 G17_S2W  42.8  10.8  55.2
 G22_S1C  38.4  20.7  50.3
 G22_S1W  23.4   1.8  43.0
 G22_S2W  23.4   1.8  43.0
 G06_S1C  42.5  27.0  49.3
 G06_S1W  41.7  19.6  53.0
 G06_S2W  41.7  19.6  53.0
 G06_S2L  42.6  30.1  48.6
 G06_S5Q  37.8  22.0  43.0
 G19_S1C  44.0  22.7  51.3
 G19_S1W  34.8   4.1  49.1
 G19_S2W  34.8   4.1  49.1
 G20_S1C  42.8  30.4  48.9
 G20_S1W  29.3   8.5  39.0
 G20_S2W  29.3   8.5  39.0
 G11_S1C  43.9  26.6  50.2
 G11_S1L  44.1  26.9  50.2
 G11_S1W  32.9   2.4  45.8
 G11_S2W  32.9   2.4  45.8
 G11_S2L  44.3  26.1  51.7
